,Data,Estacao,Poluente,Valor
497,12/01/2020,Santana,O3,24.7
498,12/01/2020,Santo Amaro,CO,450.24
499,12/01/2020,Santo Amaro,MP10,11.83
500,12/01/2020,Santo Amaro,O3,28.23
501,12/01/2020,Santo Amaro,PTS,15.0
502,13/01/2020,Capão Redondo,O3,29.26
503,13/01/2020,Cerqueira César,CO,309.2
504,13/01/2020,Cerqueira César,MP10,11.29
505,13/01/2020,Cerqueira César,NO2,10.04
506,13/01/2020,Cerqueira César,SO2,0.04
507,13/01/2020,Ibirapuera,MP2.5,6.54
508,13/01/2020,Ibirapuera,NO2,13.52
509,13/01/2020,Ibirapuera,O3,36.7
510,13/01/2020,Interlagos,MP10,11.29
511,13/01/2020,Interlagos,NO2,9.13
512,13/01/2020,Interlagos,O3,34.78
513,13/01/2020,Itaim Paulista,MP10,11.25
514,13/01/2020,Itaim Paulista,MP2.5,3.62
515,13/01/2020,Itaim Paulista,NO2,6.78
516,13/01/2020,Itaim Paulista,O3,34.13
517,13/01/2020,Mooca,CO,426.28
518,13/01/2020,Mooca,MP2.5,10.25
519,13/01/2020,Mooca,O3,46.29
520,13/01/2020,Parque Dom Pedro II,CO,228.74
521,13/01/2020,Parque Dom Pedro II,MP10,16.46
522,13/01/2020,Parque Dom Pedro II,MP2.5,6.0
523,13/01/2020,Parque Dom Pedro II,NO2,21.0
524,13/01/2020,Parque Dom Pedro II,O3,32.38
525,13/01/2020,Perus,MP10,12.54
526,13/01/2020,Perus,MP2.5,8.71
527,13/01/2020,Perus,O3,53.71
528,13/01/2020,Pinheiros,CO,369.1
529,13/01/2020,Pinheiros,MP10,13.33
530,13/01/2020,Pinheiros,MP2.5,4.81
531,13/01/2020,Pinheiros,NO2,20.08
532,13/01/2020,Pinheiros,O3,24.25
533,13/01/2020,Santana,MP2.5,10.5
534,13/01/2020,Santana,O3,30.75
535,13/01/2020,Santo Amaro,CO,368.87
536,13/01/2020,Santo Amaro,MP10,10.71
537,13/01/2020,Santo Amaro,O3,28.65
538,14/01/2020,Capão Redondo,MP10,31.7
539,14/01/2020,Capão Redondo,O3,46.35
540,14/01/2020,Cerqueira César,CO,406.85
541,14/01/2020,Cerqueira César,MP10,20.38
542,14/01/2020,Cerqueira César,NO2,20.22
543,14/01/2020,Cerqueira César,SO2,0.78
544,14/01/2020,Congonhas,CO,819.89
545,14/01/2020,Congonhas,MP10,32.26
546,14/01/2020,Congonhas,MP2.5,15.0
547,14/01/2020,Congonhas,NO2,52.0
548,14/01/2020,Ibirapuera,MP2.5,9.71
549,14/01/2020,Ibirapuera,NO2,17.29
550,14/01/2020,Ibirapuera,O3,45.29
551,14/01/2020,Interlagos,MP10,19.62
552,14/01/2020,Interlagos,NO2,16.91
553,14/01/2020,Interlagos,O3,44.09
554,14/01/2020,Interlagos,SO2,0.86
555,14/01/2020,Itaim Paulista,MP10,17.29
556,14/01/2020,Itaim Paulista,MP2.5,6.62
557,14/01/2020,Itaim Paulista,NO2,8.61
558,14/01/2020,Itaim Paulista,O3,37.39
559,14/01/2020,Mooca,CO,421.09
560,14/01/2020,Mooca,MP2.5,11.5
561,14/01/2020,Mooca,O3,49.62
562,14/01/2020,Parque Dom Pedro II,CO,233.94
563,14/01/2020,Parque Dom Pedro II,MP10,23.83
564,14/01/2020,Parque Dom Pedro II,MP2.5,19.91
